"BehaviorSpace results (NetLogo 6.2.1)"
"ModeloDinámicoSmallWorld.nlogo"
"clust-path-length-small-worlsd"
"05/06/2022 08:59:39:765 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-reconexiones","num-nodos","[step]","avg-path-length","global-clustering"
"64","14","100","14","4.013333333333334","0.5385996409335727"
"65","14","100","14","4.294949494949495","0.5410425404433793"
"66","14","100","14","4.266060606060606","0.5493716337522442"
"67","14","100","14","4.194747474747475","0.5457809694793537"
"68","14","100","14","4.336565656565656","0.5389221556886228"
"70","14","100","14","4.1","0.5417163289630512"
"71","16","100","16","3.9313131313131313","0.5303476723629935"
"72","16","100","16","4.187474747474748","0.5338833235120801"
"73","16","100","16","4.041212121212121","0.5327433628318584"
"69","14","100","14","4.0464646464646465","0.5385996409335727"
"76","16","100","16","3.8753535353535353","0.5303476723629935"
"75","16","100","16","4.196161616161616","0.5377358490566038"
"74","16","100","16","3.9305050505050505","0.531489111241907"
"77","16","100","16","4.052323232323232","0.5306603773584906"
"78","16","100","16","4.1165656565656565","0.5391868002357101"
"79","16","100","16","3.927676767676768","0.5309734513274337"
"80","16","100","16","3.9226262626262627","0.5306603773584906"
"82","18","100","18","3.779191919191919","0.527262180974478"
"84","18","100","18","3.9525252525252523","0.525522041763341"
"83","18","100","18","3.8842424242424243","0.527262180974478"
"81","18","100","18","4.042020202020202","0.5275681950087058"
"85","18","100","18","3.8666666666666667","0.5232558139534884"
"86","18","100","18","4.012121212121212","0.5275681950087058"
"88","18","100","18","3.8646464646464644","0.5281812899477049"
"87","18","100","18","4.045050505050505","0.524390243902439"
"89","18","100","18","3.961010101010101","0.5237819025522041"
"90","18","100","18","3.923030303030303","0.5278745644599303"
"91","20","100","20","4.048080808080808","0.5254722381224957"
"93","20","100","20","3.9836363636363634","0.5212155963302753"
"97","20","100","20","3.7155555555555555","0.5197255574614065"
"94","20","100","20","3.7404040404040404","0.5183066361556065"
"95","20","100","20","3.8781818181818184","0.5248713550600344"
"96","20","100","20","3.7955555555555556","0.5183066361556065"
"92","20","100","20","3.8484848484848486","0.528604118993135"
"99","20","100","20","3.8173737373737375","0.5165903890160183"
"98","20","100","20","3.840606060606061","0.5174785100286533"
"100","20","100","20","4.042424242424242","0.5248713550600344"
"101","22","100","22","3.7488888888888887","0.5143338954468802"
"102","22","100","22","3.6472727272727274","0.5112866817155757"
"103","22","100","22","3.7044444444444444","0.5090191657271702"
"104","22","100","22","3.6218181818181816","0.5095936794582393"
"106","22","100","22","3.728080808080808","0.5118243243243243"
"107","22","100","22","3.7094949494949496","0.5070422535211268"
"109","22","100","22","3.648888888888889","0.5112485939257593"
"105","22","100","22","3.6935353535353537","0.5109983079526227"
"108","22","100","22","4.002020202020202","0.5299097065462754"
"110","22","100","22","3.8145454545454545","0.5154929577464789"
"111","24","100","24","3.9838383838383837","0.5150501672240803"
"112","24","100","24","3.736767676767677","0.5036131183991106"
"113","24","100","24","3.6422222222222222","0.5075125208681135"
"114","24","100","24","3.485252525252525","0.5052457205963556"
"115","24","100","24","3.6876767676767677","0.5036252091466815"
"117","24","100","24","3.685656565656566","0.5133333333333333"
"118","24","100","24","3.5747474747474746","0.49889135254988914"
"119","24","100","24","3.669090909090909","0.5061043285238623"
"116","24","100","24","3.6872727272727275","0.5013927576601671"
"120","24","100","24","4.037373737373738","0.5158069883527454"
"123","26","100","26","3.5476767676767675","0.4964383561643836"
"121","26","100","26","3.565858585858586","0.4956379498364231"
"122","26","100","26","3.4864646464646465","0.4934210526315789"
"124","26","100","26","3.557777777777778","0.500823723228995"
"125","26","100","26","3.7052525252525252","0.5071115973741794"
"126","26","100","26","3.6993939393939392","0.4980821917808219"
"128","26","100","26","3.5539393939393937","0.4986331328594861"
"129","26","100","26","3.5676767676767676","0.5041050903119869"
"130","26","100","26","3.5406060606060605","0.5010952902519168"
"127","26","100","26","3.5814141414141414","0.5013653741125068"
"131","28","100","28","3.4856565656565657","0.4964959568733154"
"132","28","100","28","3.4997979797979797","0.49079089924160346"
"133","28","100","28","3.7507070707070707","0.5043243243243243"
"134","28","100","28","3.5385858585858587","0.4932395889670092"
"136","28","100","28","3.5236363636363635","0.5018888289260658"
"135","28","100","28","3.54","0.4932395889670092"
"137","28","100","28","3.457373737373737","0.49135135135135133"
"139","28","100","28","3.73979797979798","0.48705501618122976"
"140","28","100","28","3.596969696969697","0.49783783783783786"
"138","28","100","28","3.5171717171717174","0.4921494315105577"
"141","30","100","30","3.4646464646464645","0.4968051118210863"
