"BehaviorSpace results (NetLogo 6.2.1)"
"Difusión-Centralidad.nlogo"
"Efecto-Centralidad"
"05/07/2022 15:24:17:557 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","prob-contagio","num-nodos","[step]","ticks"
"184","10","mayorgrado","50","8000","22","22"
"186","10","mayorgrado","50","8000","16","16"
"187","10","mayorgrado","50","8000","18","18"
"185","10","mayorgrado","50","8000","20","20"
"188","10","mayorgrado","50","8000","21","21"
"189","10","mayorgrado","50","8000","18","18"
"191","10","mayorgrado","50","8000","17","17"
"190","10","mayorgrado","50","8000","23","23"
"192","10","mayorgrado","50","8000","17","17"
"193","10","mayorgrado","50","8000","18","18"
"194","10","mayorgrado","50","8000","18","18"
"195","10","mayorgrado","50","8000","22","22"
"196","10","mayorgrado","50","8000","19","19"
"198","10","mayorgrado","50","8000","18","18"
"199","10","mayorgrado","50","8000","16","16"
"197","10","mayorgrado","50","8000","22","22"
"200","10","mayorgrado","50","8000","18","18"
"203","10","mayorgrado","50","9000","15","15"
"202","10","mayorgrado","50","9000","19","19"
"201","10","mayorgrado","50","9000","21","21"
"204","10","mayorgrado","50","9000","18","18"
"205","10","mayorgrado","50","9000","20","20"
"208","10","mayorgrado","50","9000","17","17"
"207","10","mayorgrado","50","9000","20","20"
"206","10","mayorgrado","50","9000","23","23"
"211","10","mayorgrado","50","9000","16","16"
"209","10","mayorgrado","50","9000","19","19"
"210","10","mayorgrado","50","9000","19","19"
"212","10","mayorgrado","50","9000","21","21"
"215","10","mayorgrado","50","9000","18","18"
"213","10","mayorgrado","50","9000","23","23"
"216","10","mayorgrado","50","9000","17","17"
"214","10","mayorgrado","50","9000","22","22"
"219","10","mayorgrado","50","9000","17","17"
"217","10","mayorgrado","50","9000","17","17"
"218","10","mayorgrado","50","9000","18","18"
"220","10","mayorgrado","50","9000","18","18"
"224","10","mayorgrado","50","9000","16","16"
"222","10","mayorgrado","50","9000","17","17"
"225","10","mayorgrado","50","9000","19","19"
"221","10","mayorgrado","50","9000","24","24"
"226","10","mayorgrado","50","9000","20","20"
"223","10","mayorgrado","50","9000","23","23"
"227","10","mayorgrado","50","9000","20","20"
"228","10","mayorgrado","50","9000","20","20"
"229","10","mayorgrado","50","9000","21","21"
"231","10","mayorgrado","50","9000","18","18"
"230","10","mayorgrado","50","9000","24","24"
"232","10","mayorgrado","50","9000","19","19"
"233","10","mayorgrado","50","9000","19","19"
"235","10","mayorgrado","50","9000","19","19"
"234","10","mayorgrado","50","9000","20","20"
"236","10","mayorgrado","50","9000","19","19"
"239","10","mayorgrado","50","9000","18","18"
"240","10","mayorgrado","50","9000","17","17"
"237","10","mayorgrado","50","9000","22","22"
"242","10","mayorgrado","50","9000","17","17"
"241","10","mayorgrado","50","9000","20","20"
"238","10","mayorgrado","50","9000","25","25"
"243","10","mayorgrado","50","9000","23","23"
"244","10","mayorgrado","50","9000","19","19"
"245","10","mayorgrado","50","9000","17","17"
"247","10","mayorgrado","50","9000","18","18"
"249","10","mayorgrado","50","9000","17","17"
"248","10","mayorgrado","50","9000","20","20"
"250","10","mayorgrado","50","9000","19","19"
"246","10","mayorgrado","50","9000","25","25"
"252","10","mayorgrado","50","10000","17","17"
"251","10","mayorgrado","50","10000","19","19"
"254","10","mayorgrado","50","10000","18","18"
"255","10","mayorgrado","50","10000","20","20"
"253","10","mayorgrado","50","10000","21","21"
"257","10","mayorgrado","50","10000","19","19"
"256","10","mayorgrado","50","10000","19","19"
"258","10","mayorgrado","50","10000","18","18"
"259","10","mayorgrado","50","10000","15","15"
"260","10","mayorgrado","50","10000","17","17"
"261","10","mayorgrado","50","10000","15","15"
"263","10","mayorgrado","50","10000","18","18"
"262","10","mayorgrado","50","10000","21","21"
"265","10","mayorgrado","50","10000","19","19"
"264","10","mayorgrado","50","10000","21","21"
"267","10","mayorgrado","50","10000","19","19"
"266","10","mayorgrado","50","10000","20","20"
"268","10","mayorgrado","50","10000","20","20"
"269","10","mayorgrado","50","10000","19","19"
"271","10","mayorgrado","50","10000","17","17"
"273","10","mayorgrado","50","10000","19","19"
"270","10","mayorgrado","50","10000","20","20"
"272","10","mayorgrado","50","10000","20","20"
"274","10","mayorgrado","50","10000","19","19"
"275","10","mayorgrado","50","10000","19","19"
"277","10","mayorgrado","50","10000","20","20"
"276","10","mayorgrado","50","10000","24","24"
"279","10","mayorgrado","50","10000","16","16"
"281","10","mayorgrado","50","10000","17","17"
"278","10","mayorgrado","50","10000","21","21"
"280","10","mayorgrado","50","10000","20","20"
"282","10","mayorgrado","50","10000","20","20"
"283","10","mayorgrado","50","10000","20","20"
"284","10","mayorgrado","50","10000","17","17"
"286","10","mayorgrado","50","10000","19","19"
"287","10","mayorgrado","50","10000","18","18"
"285","10","mayorgrado","50","10000","23","23"
"289","10","mayorgrado","50","10000","18","18"
"288","10","mayorgrado","50","10000","19","19"
"292","10","mayorgrado","50","10000","17","17"
"290","10","mayorgrado","50","10000","24","24"
"291","10","mayorgrado","50","10000","23","23"
"293","10","mayorgrado","50","10000","18","18"
"294","10","mayorgrado","50","10000","18","18"
"295","10","mayorgrado","50","10000","19","19"
"296","10","mayorgrado","50","10000","19","19"
"301","10","random","50","5000","17","17"
"302","10","random","50","5000","21","21"
"303","10","random","50","5000","21","21"
"297","10","mayorgrado","50","10000","26","26"
"298","10","mayorgrado","50","10000","18","18"
"300","10","mayorgrado","50","10000","17","17"
"304","10","random","50","5000","20","20"
"299","10","mayorgrado","50","10000","19","19"
"307","10","random","50","5000","19","19"
"306","10","random","50","5000","21","21"
"308","10","random","50","5000","21","21"
"305","10","random","50","5000","32","32"
"309","10","random","50","5000","23","23"
"312","10","random","50","5000","19","19"
"311","10","random","50","5000","23","23"
"310","10","random","50","5000","24","24"
"313","10","random","50","5000","19","19"
"314","10","random","50","5000","23","23"
"317","10","random","50","5000","19","19"
"315","10","random","50","5000","21","21"
"316","10","random","50","5000","22","22"
"319","10","random","50","5000","20","20"
"318","10","random","50","5000","23","23"
"320","10","random","50","5000","23","23"
"321","10","random","50","5000","21","21"
"322","10","random","50","5000","24","24"
"324","10","random","50","5000","21","21"
"326","10","random","50","5000","20","20"
"327","10","random","50","5000","21","21"
"325","10","random","50","5000","26","26"
"323","10","random","50","5000","30","30"
"328","10","random","50","5000","20","20"
"329","10","random","50","5000","19","19"
"332","10","random","50","5000","21","21"
"330","10","random","50","5000","25","25"
"331","10","random","50","5000","23","23"
"333","10","random","50","5000","22","22"
"334","10","random","50","5000","21","21"
"336","10","random","50","5000","20","20"
"335","10","random","50","5000","22","22"
"340","10","random","50","5000","17","17"
"337","10","random","50","5000","27","27"
"339","10","random","50","5000","20","20"
"341","10","random","50","5000","18","18"
"338","10","random","50","5000","24","24"
"342","10","random","50","5000","20","20"
"344","10","random","50","5000","19","19"
