"BehaviorSpace results (NetLogo 6.2.1)"
"Vacunación-CompGigante.nlogo"
"Vacunación-ComGigante"
"05/08/2022 23:38:55:795 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","num-nodos","[step]","tamaño-gigante"
"137","2","eigen","200","3","64"
"140","2","eigen","200","2","81"
"145","2","eigen","300","0","300"
"146","2","eigen","300","0","300"
"141","2","eigen","300","1","121"
"139","2","eigen","200","2","87"
"144","2","eigen","300","1","228"
"143","2","eigen","300","1","158"
"139","2","eigen","200","3","87"
"146","2","eigen","300","1","138"
"147","2","eigen","300","0","300"
"142","2","eigen","300","2","71"
"141","2","eigen","300","2","85"
"140","2","eigen","200","3","36"
"148","2","eigen","300","0","300"
"144","2","eigen","300","2","228"
"142","2","eigen","300","3","71"
"145","2","eigen","300","1","160"
"143","2","eigen","300","2","158"
"146","2","eigen","300","2","138"
"141","2","eigen","300","3","85"
"148","2","eigen","300","1","94"
"147","2","eigen","300","1","36"
"142","2","eigen","300","4","71"
"145","2","eigen","300","2","160"
"146","2","eigen","300","3","138"
"141","2","eigen","300","4","85"
"147","2","eigen","300","2","36"
"142","2","eigen","300","5","71"
"144","2","eigen","300","3","228"
"147","2","eigen","300","3","36"
"143","2","eigen","300","3","158"
"141","2","eigen","300","5","85"
"149","2","eigen","300","0","300"
"148","2","eigen","300","2","94"
"146","2","eigen","300","4","138"
"150","2","eigen","300","0","300"
"145","2","eigen","300","3","160"
"144","2","eigen","300","4","228"
"146","2","eigen","300","5","138"
"151","6","mayorgrado","100","0","100"
"151","6","mayorgrado","100","1","29"
"151","6","mayorgrado","100","2","26"
"151","6","mayorgrado","100","3","26"
"151","6","mayorgrado","100","4","19"
"151","6","mayorgrado","100","5","19"
"149","2","eigen","300","1","117"
"152","6","mayorgrado","100","0","100"
"143","2","eigen","300","4","63"
"152","6","mayorgrado","100","1","45"
"152","6","mayorgrado","100","2","17"
"152","6","mayorgrado","100","3","17"
"152","6","mayorgrado","100","4","17"
"152","6","mayorgrado","100","5","17"
"148","2","eigen","300","3","94"
"147","2","eigen","300","4","36"
"149","2","eigen","300","2","117"
"153","6","mayorgrado","100","0","100"
"153","6","mayorgrado","100","1","42"
"153","6","mayorgrado","100","2","18"
"145","2","eigen","300","4","160"
"153","6","mayorgrado","100","3","14"
"153","6","mayorgrado","100","4","14"
"147","2","eigen","300","5","36"
"153","6","mayorgrado","100","5","14"
"155","6","mayorgrado","100","0","100"
"154","6","mayorgrado","100","0","100"
"155","6","mayorgrado","100","1","18"
"154","6","mayorgrado","100","1","42"
"155","6","mayorgrado","100","2","18"
"148","2","eigen","300","4","94"
"154","6","mayorgrado","100","2","17"
"150","2","eigen","300","1","103"
"155","6","mayorgrado","100","3","18"
"149","2","eigen","300","3","117"
"144","2","eigen","300","5","228"
"154","6","mayorgrado","100","3","13"
"156","6","mayorgrado","100","0","100"
"155","6","mayorgrado","100","4","11"
"145","2","eigen","300","5","160"
"155","6","mayorgrado","100","5","11"
"156","6","mayorgrado","100","1","70"
"156","6","mayorgrado","100","2","39"
"156","6","mayorgrado","100","3","39"
"158","6","mayorgrado","100","0","100"
"156","6","mayorgrado","100","4","18"
"158","6","mayorgrado","100","1","43"
"154","6","mayorgrado","100","4","13"
"157","6","mayorgrado","100","0","100"
"154","6","mayorgrado","100","5","13"
"157","6","mayorgrado","100","1","28"
"156","6","mayorgrado","100","5","18"
"157","6","mayorgrado","100","2","16"
"159","6","mayorgrado","100","0","100"
"157","6","mayorgrado","100","3","14"
"148","2","eigen","300","5","94"
"143","2","eigen","300","5","63"
"157","6","mayorgrado","100","4","14"
"159","6","mayorgrado","100","1","36"
"158","6","mayorgrado","100","2","43"
"157","6","mayorgrado","100","5","9"
"159","6","mayorgrado","100","2","19"
"160","6","mayorgrado","100","0","100"
"159","6","mayorgrado","100","3","13"
"160","6","mayorgrado","100","1","46"
"160","6","mayorgrado","100","2","18"
"159","6","mayorgrado","100","4","13"
"160","6","mayorgrado","100","3","12"
"163","6","mayorgrado","200","0","200"
"159","6","mayorgrado","100","5","5"
"158","6","mayorgrado","100","3","34"
"161","6","mayorgrado","200","0","200"
"160","6","mayorgrado","100","4","12"
"163","6","mayorgrado","200","1","142"
"160","6","mayorgrado","100","5","12"
"163","6","mayorgrado","200","2","66"
"164","6","mayorgrado","200","0","200"
"158","6","mayorgrado","100","4","25"
"162","6","mayorgrado","200","0","200"
"163","6","mayorgrado","200","3","66"
"165","6","mayorgrado","200","0","200"
"164","6","mayorgrado","200","1","53"
"161","6","mayorgrado","200","1","88"
"165","6","mayorgrado","200","1","36"
"163","6","mayorgrado","200","4","24"
"164","6","mayorgrado","200","2","50"
"165","6","mayorgrado","200","2","34"
"163","6","mayorgrado","200","5","20"
"162","6","mayorgrado","200","1","176"
"165","6","mayorgrado","200","3","34"
"158","6","mayorgrado","100","5","12"
